SourceElementKey,BlockfaceName,SideOfStreet,ParkingTimeLimitCategory,ParkingSpaceCount,PaidParkingArea,PaidParkingSubArea,PaidParkingRate,ParkingCategory,longitude,latitude
35682,TALLMAN AVE NW BETWEEN NW CENTRAL PL AND NW MARKET ST,NE,240,19,Ballard,Edge,,Paid Parking,122.38076096,47.66793637
13513,WESTERN AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,120,13,Commercial Core,Waterfront,,Paid Parking,122.33982722,47.60683479
81190,UNION ST BETWEEN 5TH AVE AND 6TH AVE,SE,120,3,Commercial Core,Retail,,Paid Parking,122.33407591,47.60986131
70501,18TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,W,120,18,Cherry Hill,,,Paid Parking,122.30901722,47.60711882
37141,E PIKE ST BETWEEN 13TH AVE AND 14TH AVE,N,120,7,Pike-Pine,,,Paid Parking,122.31489633,47.61418868
81421,WARREN AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,240,10,Uptown,Edge,,Paid Parking,122.35419725,47.62389409
13130,THOMAS ST BETWEEN TAYLOR AVE N AND 6TH AVE N,S,600,9,Uptown Triangle,,,Paid Parking,122.34564456,47.62082637
35889,VALLEY ST BETWEEN MINOR AVE N AND YALE AVE N,N,600,7,South Lake Union,North,,Paid Parking,122.33168043,47.62602813
17618,NE 71ST ST BETWEEN WOODLAWN AVE NE AND 5TH AVE NE,S,120,11,Green Lake,,,Paid Parking,122.32369528,47.6799006
79658,MARION ST BETWEEN 7TH AVE AND 8TH AVE,SE,120,8,First Hill,,,Paid Parking,122.32827966,47.60696067
20845,S KING ST BETWEEN 7TH AVE S AND CANTON AL S,N,120,4,Chinatown/ID,Core,,Paid Parking,122.32338347,47.59841161
79890,MINOR AVE BETWEEN OLIVE WAY AND HOWELL ST,NE,240,5,Denny Triangle,North,,Paid Parking,122.33001488,47.61645359
36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,120,10,Cherry Hill,,,Paid Parking,122.30958885,47.60808627
1278,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,E,240,11,Uptown,Edge,,Paid Parking,122.35796715,47.6214913
76434,9TH AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,E,120,10,South Lake Union,South,,Paid Parking,122.33966666,47.62261473
59374,EAST GREEN LAKE DR N BETWEEN NE 72ND ST AND NE MAPLE LEAF PL,NE,30,3,Green Lake,,,Paid Parking,122.32586409,47.68054512
31493,ALASKAN WAY BETWEEN LENORA ST AND BLANCHARD ST,SW,120,13,Belltown,South,,Paid Parking,122.34696795,47.61026981
46457,1ST AVE W BETWEEN W HARRISON ST AND W REPUBLICAN ST,W,240,8,Uptown,Edge,,Paid Parking,122.35809952,47.62270309
55429,EAGLE ST BETWEEN WESTERN AVE AND 1ST AVE,NW,240,7,Belltown,North,,Paid Parking,122.35433613,47.617408
12957,SUMMIT AVE BETWEEN UNIVERSITY ST AND E UNION ST,SW,120,6,First Hill,,,Paid Parking,122.32520538,47.61267365
51485,4TH AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,120,8,Belltown,South,,Paid Parking,122.33945509,47.61261182
46726,12TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,E,120,3,12th Avenue,,,Paid Parking,122.31667498,47.60653807
55454,EASTLAKE AVE E BETWEEN E NELSON PL AND FAIRVIEW AVE N,SE,600,8,South Lake Union,North,,Paid Parking,122.32657593,47.63127461
9702,CHERRY ST BETWEEN MINOR AVE AND BROADWAY,SE,120,7,First Hill,,,Paid Parking,122.32142554,47.60787279
33733,JAMES ST BETWEEN 2ND AVE AND 3RD AVE,NW,120,5,Pioneer Square,Core,,Paid Parking,122.33199665,47.60259141
36162,WESTLAKE EAST RDWY AVE N BETWEEN CROCKETT ST AND MCGRAW ST,E,120,45,Westlake Ave N,North,,Restricted Parking Zone,122.34089136,47.63886884
54305,BATTERY ST BETWEEN WESTERN AVE AND 1ST AVE,NW,240,5,Belltown,North,,Paid Parking,122.34830871,47.61387783
8610,9TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,120,7,First Hill,,,Restricted Parking Zone,122.32565947,47.60666928
23874,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,120,9,Uptown,Core,,Paid Parking,122.35739975,47.62321888
120222,WESTLAKE EAST RDWY AVE N BETWEEN WESTLAKE SHORE RDWY 2 AVE N AND BLAINE ST,E,120,13,Westlake Ave N,North,,Restricted Parking Zone,122.34008235,47.63428323
1025,1ST AVE BETWEEN BATTERY ST AND WALL ST,SW,240,3,Belltown,North,,Paid Parking,122.34838555,47.61437332
31510,ALASKAN E RDWY WAY BETWEEN MARION ST AND MADISON ST,NE,240,16,Commercial Core,Waterfront,,Paid Parking,122.33775965,47.60358859
55641,FAIRVIEW AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,W,120,15,South Lake Union,South,,Paid Parking,122.33443905,47.62261088
53129,6TH AVE BETWEEN BELL ST AND BATTERY ST,SW,240,9,Denny Triangle,North,,Paid Parking,122.34293648,47.61700881
70866,2ND AVE S BETWEEN S JACKSON ST AND S KING ST,E,120,16,Pioneer Square,Edge,,Paid Parking,122.33145758,47.59876727
57202,MINOR AVE N BETWEEN ROY ST AND VALLEY ST,E,600,9,South Lake Union,North,,Paid Parking,122.33246437,47.62554339
55029,COLUMBIA ST BETWEEN TERRY AVE AND BOREN AVE,NW,120,10,First Hill,,,Paid Parking,122.3244191,47.60771806
79034,JOHN ST BETWEEN MINOR AVE N AND PONTIUS E AVE N,S,120,9,South Lake Union,South,,Restricted Parking Zone,122.33261027,47.61959441
81246,VALLEY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,600,15,South Lake Union,North,,Paid Parking,122.33348049,47.62587776
55410,DILLING WAY BETWEEN 3RD AVE AND 4TH AVE,SE,120,3,Pioneer Square,Edge,,Paid Parking,122.32955839,47.60197685
58805,WESTERN AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,120,10,Belltown,South,,Paid Parking,122.34416591,47.61072092
53242,6TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,120,5,Chinatown/ID,Core,,Paid Parking,122.32628368,47.59709419
120200,WESTLAKE EAST RDWY AVE N BETWEEN HOWE ST AND NEWTON ST,E,120,44,Westlake Ave N,North,,Restricted Parking Zone,122.34011376,47.63583426
31542,ALDER ST BETWEEN TERRY AVE AND BROADWAY,SE,120,6,First Hill,,,Restricted Parking Zone,122.32117725,47.60402508
77545,CHERRY ST BETWEEN 2ND AVE AND 3RD AVE,NW,120,8,Pioneer Square,Core,,Paid Parking,122.33266198,47.60331352
80657,RUSSELL AVE NW BETWEEN 20TH AVE NW AND NW MARKET ST,SW,240,9,Ballard,Edge,,Paid Parking,122.38270588,47.66821371
34294,MARION ST BETWEEN ALASKAN E RDWY WAY AND WESTERN AVE,SE,120,4,Commercial Core,Waterfront,,Paid Parking,122.33705366,47.60330023
57353,OCCIDENTAL AVE S BETWEEN S JACKSON ST AND S KING E ST,W,120,8,Pioneer Square,Edge,,Paid Parking,122.33297326,47.59872593
39486,NE 47TH ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,S,120,6,University District,Core,,Paid Parking,122.3125302,47.6630548
35202,REPUBLICAN ST BETWEEN PONTIUS AVE N AND YALE AVE N,S,120,7,South Lake Union,South,,Paid Parking,122.33110643,47.62305276
65545,S JACKSON ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S,N,120,3,Pioneer Square,Edge,,Paid Parking,122.33481763,47.59926347
